    PID TTY      STAT   TIME COMMAND
  13377 ?        Sl     0:00 /usr/libexec/gvfsd-network --spawner :1.3 /org/gtk/gvfs/exec_spaw/1
  13389 ?        Sl     0:00 /usr/libexec/gvfsd-dnssd --spawner :1.3 /org/gtk/gvfs/exec_spaw/3
  13612 ?        Sl     0:04 /usr/lib/slack/slack --type=utility --utility-sub-type=audio.mojom.AudioService --field-trial-handle=5223755090093742102,14761324036587723506,131072 --enable-features=WebComponentsV0Enabled --disable-features=CookiesWithoutSameSiteMustBeSecure,HardwareMediaKeyHandling,RequestInitiatorSiteLockEnfocement,SameSiteByDefaultCookies,SpareRendererForSitePerProcess,WebRtcHideLocalIpsWithMdns --lang=de --service-sandbox-type=none --enable-crash-reporter=a522034a-db76-4e69-b0e9-3b072377a0e8,no_channel --global-crash-keys=a522034a-db76-4e69-b0e9-3b072377a0e8,no_channel,_productName=Slack,_version=4.13.0 --standard-schemes=app,slack-webapp-dev --enable-sandbox --secure-schemes=app,slack-webapp-dev --bypasscsp-schemes=slack-webapp-dev --cors-schemes=slack-webapp-dev --fetch-schemes=slack-webapp-dev --service-worker-schemes=slack-webapp-dev --streaming-schemes --shared-files=v8_context_snapshot_data:100
  14632 ?        Sl     0:00 /usr/bin/zoom
  14638 ?        S      0:00 sh -c export SSB_HOME=/home/rmc/.zoom; export QSG_INFO=1; export LD_LIBRARY_PATH=/opt/zoom; export BREAKPAD_CLIENT_FD=3; /opt/zoom/zoom ""
  14639 ?        SLl  243:20 /opt/zoom/zoom
  16031 ?        I      0:12 [kworker/1:1-rcu_gp]
  16138 ?        Sl     0:38 /usr/lib/x86_64-linux-gnu/libexec/kactivitymanagerd
  16146 ?        Sl     0:02 /usr/bin/kglobalaccel5
  16152 ?        Ss     0:00 kdeinit5: Running...
  16153 ?        Sl     0:02 /usr/lib/x86_64-linux-gnu/libexec/kf5/klauncher --fd=8
  17505 ?        Sl     1:43 dolphin
  18608 ?        Sl     0:11 /usr/bin/eog /home/rmc/cloud01/Befehle/iot.cmd.01.png
  18907 ?        I      1:24 [kworker/0:0-events]
  20881 ?        D<     0:19 [kworker/u9:0+i915_flip]
  22595 pts/1    Ss+    0:00 /bin/bash
  22775 ?        I      0:01 [kworker/3:0-events]
  22991 ?        S      0:00 [scsi_eh_0]
  22992 ?        I<     0:00 [scsi_tmf_0]
  22993 ?        S      0:00 [usb-storage]
  22997 ?        I<     0:00 [uas]
  24943 ?        Sl     0:04 /snap/chromium/1497/usr/lib/chromium-browser/chrome --type=renderer --field-trial-handle=7553479743906546279,12855720293878275406,131072 --lang=de --disable-client-side-phishing-detection --origin-trial-disabled-features=SecurePaymentConfirmation --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=209 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
  25011 ?        Sl     0:33 /snap/chromium/1497/usr/lib/chromium-browser/chrome --type=renderer --field-trial-handle=7553479743906546279,12855720293878275406,131072 --lang=de --disable-client-side-phishing-detection --origin-trial-disabled-features=SecurePaymentConfirmation --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=211 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
  25276 ?        Sl     3:29 /usr/lib/thunderbird/thunderbird
  26451 ?        Sl     0:04 /snap/chromium/1497/usr/lib/chromium-browser/chrome --type=renderer --field-trial-handle=7553479743906546279,12855720293878275406,131072 --lang=de --disable-client-side-phishing-detection --origin-trial-disabled-features=SecurePaymentConfirmation --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=215 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
  26514 ?        Sl     0:05 /snap/chromium/1497/usr/lib/chromium-browser/chrome --type=renderer --field-trial-handle=7553479743906546279,12855720293878275406,131072 --lang=de --disable-client-side-phishing-detection --origin-trial-disabled-features=SecurePaymentConfirmation --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=218 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
  26705 ?        I      0:02 [kworker/3:2-events]
  27383 ?        R      0:35 [kworker/0:1+events]
  27481 ?        I      0:00 [kworker/u8:2-events_unbound]
  28098 ?        I      0:01 [kworker/2:0-events]
  28149 ?        Sl     0:00 /snap/chromium/1497/usr/lib/chromium-browser/chrome --type=renderer --field-trial-handle=7553479743906546279,12855720293878275406,131072 --lang=de --disable-client-side-phishing-detection --origin-trial-disabled-features=SecurePaymentConfirmation --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=226 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
  28166 ?        I<     0:06 [kworker/u9:2-i915_flip]
  28207 ?        I      0:00 [kworker/u8:1-i915]
  28468 ?        I      0:00 [kworker/u8:0-ext4-rsv-conversion]
  28527 ?        I      0:00 [kworker/2:1]
  28575 ?        I      0:01 [kworker/1:2-events]
  29118 ?        I<     0:00 [kworker/u9:3-rb_allocator]
  29282 ?        S      0:00 file.so [kdeinit5] file local:/run/user/1000/klauncherlxJhkz.1.slave-socket local:/run/user/1000/dolphindMsLsG.49.slave-socket
  29364 ?        S      0:00 tags.so [kdeinit5] tags local:/run/user/1000/klauncherlxJhkz.1.slave-socket local:/run/user/1000/dolphinRKQhjm.51.slave-socket
  29436 pts/0    R+     0:00 ps -ax
insgesamt 68
drwxrwxr-x  6 rmc rmc  4096 Mär  3 13:31 .
drwxrwxrwx 94 rmc rmc 12288 Mär  3 12:08 ..
drwxrwxr-x  8 rmc rmc  4096 Mär  3 09:12 02.cloud
drwxrwxr-x  3 rmc rmc  4096 Mär  3 09:19 02.iot
drwxrwxr-x  2 rmc rmc  4096 Mär  3 08:46 Befehle
drwxrwxr-x  2 rmc rmc  4096 Mär  3 09:45 franzordner
-rw-rw-r--  1 rmc rmc 33739 Mär  3 13:29 info.txt
