    PID TTY      STAT   TIME COMMAND
   1050 ?        Ss     0:00 /usr/sbin/cupsd -l
   1055 ?        S      0:00 [iprt-VBoxTscThr]
   1086 ?        Ssl    0:00 /usr/sbin/gdm3
   1269 ?        SNsl   0:00 /usr/libexec/rtkit-daemon
   1341 ?        Ssl    0:03 /usr/lib/upower/upowerd
   1609 ?        S      0:00 /usr/lib/cups/notifier/dbus dbus://
   1660 ?        Ssl    0:00 /usr/bin/whoopsie -f
   1670 ?        Ss     0:01 /usr/sbin/kerneloops --test
   1673 ?        Ss     0:01 /usr/sbin/kerneloops
   1848 ?        Sl     0:00 gdm-session-worker [pam/gdm-password]
   1857 ?        S<     0:00 [loop13]
   1881 ?        Ssl    0:04 /usr/lib/snapd/snapd
   2175 ?        Ss     0:00 /lib/systemd/systemd --user
   2176 ?        S      0:00 (sd-pam)
   2188 ?        S<sl  51:40 /usr/bin/pulseaudio --daemonize=no --log-target=journal
   2190 ?        SNsl   0:17 /usr/libexec/tracker-miner-fs
   2192 ?        Ss     0:14 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
   2198 ?        SLl    0:01 /usr/bin/gnome-keyring-daemon --daemonize --login
   2213 ?        Ssl    0:01 /usr/libexec/gvfsd
   2218 ?        Sl     0:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
   2226 ?        Ssl    0:00 /usr/libexec/gvfs-udisks2-volume-monitor
   2234 ?        Ssl    0:00 /usr/libexec/gvfs-goa-volume-monitor
   2237 ?        S<     0:00 [krfcommd]
   2239 ?        SLl    0:05 /usr/libexec/goa-daemon
   2241 tty2     Ssl+   0:00 /usr/lib/gdm3/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
   2243 tty2     Rl+  104:05 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
   2250 ?        Sl     0:00 /usr/libexec/goa-identity-service
   2256 ?        Ssl    0:00 /usr/libexec/gvfs-afc-volume-monitor
   2261 ?        Ssl    0:00 /usr/libexec/gvfs-gphoto2-volume-monitor
   2265 ?        Ssl    0:00 /usr/libexec/gvfs-mtp-volume-monitor
   2307 tty2     Sl+    0:00 /usr/libexec/gnome-session-binary --systemd --systemd --session=ubuntu
   2321 ?        Sl     0:00 /usr/bin/gnome-keyring-daemon --start --foreground --components=secrets
   2382 ?        Ss     0:00 /usr/bin/ssh-agent /usr/bin/im-launch env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
   2405 ?        Ssl    0:00 /usr/libexec/at-spi-bus-launcher
   2410 ?        S      0:03 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
   2422 ?        Ssl    0:00 /usr/libexec/gnome-session-ctl --monitor
   2428 ?        Ssl    0:02 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
   2443 ?        Rsl   38:11 /usr/bin/gnome-shell
   2471 ?        Sl     1:29 ibus-daemon --panel disable --xim
   2475 ?        Sl     0:00 /usr/libexec/ibus-memconf
   2476 ?        Sl     0:03 /usr/libexec/ibus-extension-gtk3
   2479 ?        Sl     0:00 /usr/libexec/ibus-x11 --kill-daemon
   2481 ?        Sl     0:01 /usr/libexec/ibus-portal
   2492 ?        Sl     0:06 /usr/libexec/at-spi2-registryd --use-gnome-session
   2496 ?        Ssl    0:00 /usr/libexec/xdg-permission-store
   2501 ?        Sl     0:00 /usr/libexec/gnome-shell-calendar-server
   2508 ?        Ssl    0:00 /usr/libexec/evolution-source-registry
   2522 ?        Sl     0:00 /usr/libexec/dconf-service
   2525 ?        Ssl    0:02 /usr/libexec/gvfsd-metadata
   2536 ?        Ssl    0:01 /usr/libexec/evolution-calendar-factory
   2548 ?        Ssl    0:00 /usr/libexec/evolution-addressbook-factory
   2575 ?        Sl     0:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
   2586 ?        Sl     0:00 /usr/libexec/gvfsd-trash --spawner :1.3 /org/gtk/gvfs/exec_spaw/0
   2593 ?        Ssl    0:00 /usr/libexec/gsd-a11y-settings
   2594 ?        Ssl    0:01 /usr/libexec/gsd-color
   2600 ?        Ssl    0:01 /usr/libexec/gsd-datetime
   2602 ?        Ssl    0:02 /usr/libexec/gsd-housekeeping
   2604 ?        Ssl    0:01 /usr/libexec/gsd-keyboard
   2605 ?        Ssl    0:01 /usr/libexec/gsd-media-keys
   2607 ?        Ssl    0:01 /usr/libexec/gsd-power
   2613 ?        Ssl    0:00 /usr/libexec/gsd-print-notifications
   2616 ?        Ssl    0:00 /usr/libexec/gsd-rfkill
   2624 ?        Ssl    0:00 /usr/libexec/gsd-screensaver-proxy
   2626 ?        Ssl    0:02 /usr/libexec/gsd-sharing
   2627 ?        Ssl    0:00 /usr/libexec/gsd-smartcard
   2628 ?        Ssl    0:00 /usr/libexec/gsd-sound
   2637 ?        Ssl    0:00 /usr/libexec/gsd-usb-protection
   2641 ?        RNl    6:12 baloo_file
   2650 ?        Ssl    0:01 /usr/libexec/gsd-wacom
   2651 ?        Ssl    0:00 /usr/libexec/gsd-wwan
   2652 ?        Ssl    0:01 /usr/libexec/gsd-xsettings
   2654 ?        Sl     0:26 /usr/bin/perl /usr/bin/shutter --min_at_startup
   2662 ?        Sl     0:19 nemo-desktop
   2671 ?        Sl     0:46 /usr/lib/slack/slack
   2677 ?        Sl     0:00 /usr/libexec/ibus-engine-simple
   2683 ?        Sl     0:00 /usr/libexec/gsd-disk-utility-notify
   2697 ?        Sl     0:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
   2737 ?        Sl     0:00 /usr/libexec/gsd-printer
   2788 ?        S      0:00 /usr/lib/slack/slack --type=zygote --no-zygote-sandbox
   2789 ?        S      0:00 /usr/lib/slack/slack --type=zygote
   2824 ?        S      0:00 /usr/lib/slack/slack --type=zygote
   2831 ?        Ssl    1:05 /home/rmc/.dropbox-dist/dropbox-lnx.x86_64-116.4.368/dropbox
   2883 ?        Sl     0:11 /snap/snap-store/518/usr/bin/snap-store --gapplication-service
   2910 ?        Ssl    0:01 /usr/libexec/xdg-document-portal
   3066 ?        Sl     2:55 /usr/lib/slack/slack --type=gpu-process --field-trial-handle=5223755090093742102,14761324036587723506,131072 --enable-features=WebComponentsV0Enabled --disable-features=CookiesWithoutSameSiteMustBeSecure,HardwareMediaKeyHandling,RequestInitiatorSiteLockEnfocement,SameSiteByDefaultCookies,SpareRendererForSitePerProcess,WebRtcHideLocalIpsWithMdns --gpu-preferences=OAAAAAAAAAAgAAAQAAAAAAAAAAAAAAAAAABgAAAAAAAYAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAIAAAAAAAAAA== --shared-files
   3077 ?        Sl     0:25 /usr/lib/slack/slack --type=utility --utility-sub-type=network.mojom.NetworkService --field-trial-handle=5223755090093742102,14761324036587723506,131072 --enable-features=WebComponentsV0Enabled --disable-features=CookiesWithoutSameSiteMustBeSecure,HardwareMediaKeyHandling,RequestInitiatorSiteLockEnfocement,SameSiteByDefaultCookies,SpareRendererForSitePerProcess,WebRtcHideLocalIpsWithMdns --lang=de --service-sandbox-type=network --standard-schemes=app,slack-webapp-dev --enable-sandbox --secure-schemes=app,slack-webapp-dev --bypasscsp-schemes=slack-webapp-dev --cors-schemes=slack-webapp-dev --fetch-schemes=slack-webapp-dev --service-worker-schemes=slack-webapp-dev --streaming-schemes --shared-files=v8_context_snapshot_data:100
